SeriesID,Khutbat & Bayanat Series Title,Author / Scholar,Maktaba (Library),Volumes Present Count,Volumes Present List,True Total Volumes (Internet Reference),Missing / Remaining Volumes List,Status,Online Download Available?,Online Available Volumes Count,Download Sources / Reference Links,"Researched Direct Links (2026-08-10, unverified by download - review before use)","Text Status In Library (auto-matched by title, 2026-08-10 - verify low-confidence matches)"
22,تفسیری خطبات حبان جلد اول,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (600 pages, avg 1334 chars/page) | matched: BookID 15831 ""تفسیری خطبات حبان جلد اول"" (high confidence, 1.00)"
23,تقاریر وخطابات سید ابوبکر غزنوی,سید ابوبکر غزنوی رحمۃ اللہ علیہ,Maktaba Shamila Urdu,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (239 pages, avg 1171 chars/page) | matched: BookID 16237 ""تقاریر وخطابات سید ابوبکر غزنوی"" (high confidence, 1.00)"
24,حجۃ_الوداع_کے_خطبے_اور_نصیحتیں_اردو_ترجمہ_خطب_ومواعظ_من_حجة_الوداع,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13276 ""حجۃ_الوداع_کے_خطبے_اور_نصیحتیں_اردو_ترجمہ_خطب_ومواعظ_من_حجة_الوداع"" (high confidence, 1.00)"
25,حضرت جی-جلد اول,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14011 ""مجموعہ بیانات حضرت جی-جلد اول"" (high confidence, 0.60)"
26,خطب قصيرة المعروف خطبات گنگوه,حضرت مولانا سید محمد سفیان گنگوھی صاحب,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (53 pages, avg 404 chars/page) | matched: BookID 1853 ""خطب قصيرة المعروف خطبات گنگوه"" (high confidence, 1.00)"
27,خطب وحكم وأحكام وقواعد ومواعظ وآداب وأخلاق حسان /عبد العزيز السلمان - part,Unknown,Maktaba Shamela,1,2,2,1,INCOMPLETE (1 missing),YES (PDF),2 Volumes,Archive.org / Besturdubooks.net,"https://archive.org/details/abdazizsalman_pdf_1 (full author library collection, Arabic, browse for the missing volume)","SEARCHABLE TEXT (116 pages, avg 1478 chars/page) | matched: BookID 85487 ""خطب وحكم وأحكام وقواعد ومواعظ وآداب وأخلاق حسان /عبد العزيز السلمان - part 2"" (high confidence, 1.00)"
28,خطبات احتشام,حضرت مولانا محمد فیاض حیدر قاسمی صاحب,Maktaba Jibreel (Desktop),1,1,4,"2, 3, 4",INCOMPLETE (3 missing),YES (PDF),4 Volumes,Archive.org / Besturdubooks.net,NOT CONFIDENTLY LOCATED under this exact title/author - besturdubooks.net's khutbaat category did not surface a direct match: https://besturdubooks.net/category/khutbaat-o-maqalaat/ (CAUTION: an unrelated same-surname work 'خطبات علامہ احتشام الحق تھانوی' also turned up - do not confuse the two),"PDF/IMAGE - NEEDS OCR (439 pages, avg 14 chars/page) | matched: BookID 4773 ""خطبات احتشام جلد 1"" (high confidence, 0.67)"
29,خطبات الرشید,حضرت مولانا مفتی رشید احمد صاحب,Maktaba Jibreel (Desktop),1,7,7,"1, 2, 3, 4, 5, 6",INCOMPLETE (6 missing),YES (PDF),7 Volumes,Archive.org / Besturdubooks.net,"STRONG MATCH - 8-volume set, covers missing 1-6: https://besturdubooks.net/khutbat-ur-rasheed/","PDF/IMAGE - NEEDS OCR (453 pages, avg 17 chars/page) | matched: BookID 4786 ""خطبات الرشید جلد 7"" (high confidence, 0.67)"
30,خطبات العیدین {الشیخ اسماعیل},Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14678 ""خطبات العیدین {الشیخ اسماعیل}"" (high confidence, 1.00)"
31,خطبات امیر شریعت سید عطاء اللہ شاہ بخاری رحمہ اللہ,حضرت مولانا  محمد اسماعیل شجاع آبادی صاحب,Maktaba Jibreel (Desktop),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"PARTIAL - SOME PAGES NEED OCR (90/217 pages have real text) | matched: BookID 2323 ""خطبات امیر شریعت مجموعہ تقاریر سید عطاء اللہ شاہ بخاری رحمہ اللہ"" (high confidence, 0.82)"
32,خطبات اپنے اکابر کے,حضرت مولانا عزیز الرحمن عزیزی صاحب,Maktaba Jibreel (Desktop),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"PARTIAL - SOME PAGES NEED OCR (106/257 pages have real text) | matched: BookID 5169 ""خطبات اپنے اکابر کے"" (high confidence, 1.00)"
33,خطبات جمعہ,حکیم الامت حضرت مولانا اشرف علی تھانوی صاحب,Maktaba Jibreel (Desktop),1,2,2,1,INCOMPLETE (1 missing),YES (PDF),2 Volumes,Archive.org / Besturdubooks.net,"Not confidently isolated to this exact title - candidate collection to browse: https://archive.org/details/Maktaba_hakeem_ul_ummat (full Ashraf Ali Thanvi library) | https://besturdubooks.net/khutbat-ul-ahkam/ (a related but distinctly-titled work, verify before use)","PARTIAL - SOME PAGES NEED OCR (161/529 pages have real text) | matched: BookID 4758 ""خطبات جمعہ جلد 2"" (high confidence, 0.67)"
34,خطبات جمعہ محمد اسماعیل شہید رح,Unknown,Jumma Bayanat,1,1,1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14841 ""خطبات جمعہ محمد اسماعیل شہید رح (1)"" (high confidence, 0.86)"
35,خطبات جمعہ و عیدین، مفتی شفیع عثمانی,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14679 ""خطبات جمعہ و عیدین، مفتی شفیع عثمانی"" (high confidence, 1.00)"
36,خطبات حبان جلد اول,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (192 pages, avg 1338 chars/page) | matched: BookID 15809 ""خطبات حبان جلد اول"" (high confidence, 1.00)"
37,خطبات حبان جلد دوم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (192 pages, avg 1317 chars/page) | matched: BookID 15810 ""خطبات حبان جلد دوم"" (high confidence, 1.00)"
38,خطبات حبان جلد دہم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (168 pages, avg 1317 chars/page) | matched: BookID 15818 ""خطبات حبان جلد دہم"" (high confidence, 1.00)"
39,خطبات حبان جلد سوم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (208 pages, avg 1313 chars/page) | matched: BookID 15811 ""خطبات حبان جلد سوم"" (high confidence, 1.00)"
40,خطبات حبان جلد ششم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (184 pages, avg 1338 chars/page) | matched: BookID 15814 ""خطبات حبان جلد ششم"" (high confidence, 1.00)"
41,خطبات حبان جلد نہم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (200 pages, avg 1329 chars/page) | matched: BookID 15817 ""خطبات حبان جلد نہم"" (high confidence, 1.00)"
42,خطبات حبان جلد پنجم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (192 pages, avg 1308 chars/page) | matched: BookID 15813 ""خطبات حبان جلد پنجم"" (high confidence, 1.00)"
43,خطبات حبان جلد چہارم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (192 pages, avg 1369 chars/page) | matched: BookID 15812 ""خطبات حبان جلد چہارم"" (high confidence, 1.00)"
44,خطبات حبان جلد ہشتم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (200 pages, avg 1296 chars/page) | matched: BookID 15816 ""خطبات حبان جلد ہشتم"" (high confidence, 1.00)"
45,خطبات حبان جلد ہفتم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Islam,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (184 pages, avg 1344 chars/page) | matched: BookID 15815 ""خطبات حبان جلد ہفتم"" (high confidence, 1.00)"
46,خطبات حبیب موضوع ختم قران,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14186 ""خطبات حبیب موضوع ختم قران"" (high confidence, 1.00)"
47,خطبات حج وقربانی ،محرم۔قاری محمد اسحاق۔تالیفات اشرفیہ,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13296 ""خطبات حج وقربانی ،محرم۔قاری محمد اسحاق۔تالیفات اشرفیہ"" (high confidence, 1.00)"
48,خطبات حجۃ الوداع-مولانا فضل الرحمان اعظمی صاحب,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 13277 ""خطبات حجۃ الوداع-مولانا فضل الرحمان اعظمی صاحب"" (high confidence, 1.00)"
49,خطبات حرمین(),مختلف اہل علم,Maktaba Shamila Urdu,2,"1, 2",2,None (COMPLETE),COMPLETE,YES (PDF),2 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (303 pages, avg 1479 chars/page) | matched: BookID 16218 ""دروس و خطبات"" (medium confidence, 0.50)"
50,خطبات حکیم الاسلام,حضرت مولانا قاری محمد طیب صاحب,Maktaba Jibreel (Desktop),1,3,3,"1, 2",INCOMPLETE (2 missing),YES (PDF),3 Volumes,Archive.org / Besturdubooks.net,STRONG MATCH: https://besturdubooks.net/khutbat-e-hakeem-ul-islam/ | https://archive.org/details/Maktaba-Hakeem-ul-Islam-Maulana-Qari-Tayyib-ra,"PDF/IMAGE - NEEDS OCR (757 pages, avg 0 chars/page) | matched: BookID 5113 ""خطبات حکیم الاسلام جلد 3"" (high confidence, 0.75)"
51,خطبات حکیم الامت رحمہ اللہ,حکیم الامت حضرت مولانا اشرف علی تھانوی صاحب,Maktaba Jibreel (Desktop),1,11,11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",INCOMPLETE (10 missing),YES (PDF),11 Volumes,Archive.org / Besturdubooks.net,"STRONG MATCH - full collection, covers missing 1-10: https://besturdubooks.net/khutbaat-e-hakeem-ul-ummat/ | https://archive.org/details/Maktaba_hakeem_ul_ummat","PDF/IMAGE - NEEDS OCR (529 pages, avg 8 chars/page) | matched: BookID 5223 ""خطبات حکیم الامت رحمہ اللہ جلد 11"" (high confidence, 0.71)"
52,خطبات ختم نبوت ۔۔۔۔,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 15122 ""خطبات ختم نبوت ۔۔۔۔"" (high confidence, 1.00)"
53,خطبات دعوت ۔ ۔ حضرت مولانا احمد لاٹ صاحب,حضرت مولانا احمد لاٹ صاحب,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (266 pages, avg 1148 chars/page) | matched: BookID 1455 ""خطبات دعوت ۔ مجموعہ بیانات ۔ حضرت مولانا احمد لاٹ صاحب"" (high confidence, 0.78)"
54,خطبات دعوت-جلد اول- مولانا احمد لاٹ صاحب,Unknown,Jumma Bayanat,1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"NO PAGES IN DB | matched: BookID 14007 ""خطبات دعوت-جلد اول- مولانا احمد لاٹ صاحب"" (high confidence, 1.00)"
55,خطبات رحیمی جلد اول,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (194 pages, avg 1305 chars/page) | matched: BookID 2028 ""خطبات رحیمی جلد اول"" (high confidence, 1.00)"
56,خطبات رحیمی جلد دوم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (170 pages, avg 1262 chars/page) | matched: BookID 2029 ""خطبات رحیمی جلد دوم"" (high confidence, 1.00)"
57,خطبات رحیمی جلد دہم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (188 pages, avg 1294 chars/page) | matched: BookID 2038 ""خطبات رحیمی جلد دہم"" (high confidence, 1.00)"
58,خطبات رحیمی جلد سوم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (182 pages, avg 1270 chars/page) | matched: BookID 2030 ""خطبات رحیمی جلد سوم"" (high confidence, 1.00)"
59,خطبات رحیمی جلد ششم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (190 pages, avg 1308 chars/page) | matched: BookID 2033 ""خطبات رحیمی جلد ششم"" (high confidence, 1.00)"
60,خطبات رحیمی جلد نہم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (186 pages, avg 1307 chars/page) | matched: BookID 2036 ""خطبات رحیمی جلد نہم"" (high confidence, 1.00)"
61,خطبات رحیمی جلد پنجم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (196 pages, avg 1324 chars/page) | matched: BookID 2032 ""خطبات رحیمی جلد پنجم"" (high confidence, 1.00)"
62,خطبات رحیمی جلد چہارم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (176 pages, avg 1326 chars/page) | matched: BookID 2031 ""خطبات رحیمی جلد چہارم"" (high confidence, 1.00)"
63,خطبات رحیمی جلد ہشتم,حضرت مولانا ڈاکٹرحکیم محمدادریس حبان رحیمی چرتھاؤلی صاحب پی ایچ ڈی ,Maktaba Jibreel (Mobile),1,1 Volume (Unnumbered),1,None (COMPLETE),COMPLETE,YES (PDF),1 Volumes,Archive.org / Besturdubooks.net,,"SEARCHABLE TEXT (212 pages, avg 1331 chars/page) | matched: BookID 2035 ""خطبات رحیمی جلد ہشتم"" (high confidence, 1.00)"
